hierarchy,store_id,year,week_num,metric,projected_value
Ex Department 1,11,2019,34,revenue,91550.13269303767
Ex Department 1,11,2019,35,revenue,98982.01496910314
Ex Department 1,11,2019,36,revenue,90802.17464104257
Ex Department 1,11,2019,37,revenue,94519.61821775319
Ex Department 1,11,2019,38,revenue,88691.56534053227
Ex Department 1,11,2019,39,revenue,90253.76530504486
Ex Department 1,11,2019,40,revenue,85162.04837765738
Ex Department 1,11,2019,41,revenue,89557.25754426855
Ex Department 1,11,2019,42,revenue,86042.92655659669
Ex Department 1,11,2019,43,revenue,81436.43787629697
Ex Department 1,11,2019,44,revenue,83511.84851157578
Ex Department 1,11,2019,45,revenue,82385.96924069175
Ex Department 1,11,2019,46,revenue,78178.15997144036
Ex Department 1,11,2019,47,revenue,79969.50697716209
Ex Department 1,11,2019,48,revenue,73167.6487085274
Ex Department 1,11,2019,49,revenue,70427.21219558634
Ex Department 1,11,2019,50,revenue,72007.83855957986
Ex Department 1,11,2019,51,revenue,73346.76982948378
Ex Department 1,11,2019,52,revenue,68652.77199622912
Ex Department 1,11,2019,1,traffic,21509.0
Ex Department 1,11,2019,2,traffic,20906.0
Ex Department 1,11,2019,3,traffic,20542.0
Ex Department 1,11,2019,4,traffic,21578.0
Ex Department 1,11,2019,5,traffic,22250.0
Ex Department 1,11,2019,6,traffic,20916.0
Ex Department 1,11,2019,7,traffic,20897.0
Ex Department 1,11,2019,8,traffic,21622.0
Ex Department 1,11,2019,9,traffic,21033.0
Ex Department 1,11,2019,10,traffic,22802.55
Ex Department 1,11,2019,11,traffic,22423.6775
Ex Department 1,11,2019,12,traffic,22990.011375000002
Ex Department 1,11,2019,13,traffic,24317.91194375
Ex Department 1,11,2019,14,traffic,24389.5575409375
Ex Department 1,11,2019,15,traffic,25479.585417984374
Ex Department 1,11,2019,16,traffic,28677.714688883592
Ex Department 1,11,2019,17,traffic,29798.950423327773
Ex Department 1,11,2019,18,traffic,32063.19794449416
Ex Department 1,11,2019,19,traffic,29258.25784171887
Ex Department 1,11,2019,20,traffic,29917.170733804815
Ex Department 1,11,2019,21,traffic,33191.379270495054
Ex Department 1,11,2019,22,traffic,31101.598234019806
Ex Department 1,11,2019,23,traffic,32239.928145720798
Ex Department 1,11,2019,24,traffic,30561.324553006838
Ex Department 1,11,2019,25,traffic,32014.74078065718
Ex Department 1,11,2019,26,traffic,33486.577819690036
Ex Department 1,11,2019,27,traffic,35729.65671067454
Ex Department 1,11,2019,28,traffic,34140.53954620827
Ex Department 1,11,2019,29,traffic,32623.51652351868
Ex Department 1,11,2019,30,traffic,33735.94234969461
Ex Department 1,11,2019,31,traffic,33939.661967179345
Ex Department 1,11,2019,32,traffic,33593.01119053831
Ex Department 1,11,2019,33,traffic,32241.661181315227
Ex Department 1,11,2019,34,traffic,29676.94864319349
Ex Department 1,11,2019,35,traffic,32147.718198306287
Ex Department 1,11,2019,36,traffic,29466.774837322384
Ex Department 1,11,2019,37,traffic,30930.577844744323
Ex Department 1,11,2019,38,traffic,28971.90921581515
Ex Department 1,11,2019,39,traffic,29488.3947793812
Ex Department 1,11,2019,40,traffic,27668.351626264317
Ex Department 1,11,2019,41,traffic,29399.710670887293
Ex Department 1,11,2019,42,traffic,28152.577240906903
Ex Department 1,11,2019,43,traffic,26644.22619125126
Ex Department 1,11,2019,44,traffic,27373.541093527783
Ex Department 1,11,2019,45,traffic,26705.20192055383
Ex Department 1,11,2019,46,traffic,25438.92497754866
Ex Department 1,11,2019,47,traffic,26288.99233544159
Ex Department 1,11,2019,48,traffic,24511.209116679944
Ex Department 1,11,2019,49,traffic,23565.142595203528
Ex Department 1,11,2019,50,traffic,24471.123898787773
Ex Department 1,11,2019,51,traffic,24823.68297624243
Ex Department 1,11,2019,52,traffic,23477.034026695583
Ex Department 1,12,2019,1,revenue,107830.51000000001
Ex Department 1,12,2019,2,revenue,97533.72
Ex Department 1,12,2019,3,revenue,99487.07
